Fecha,Hora,Temperatura (°C),Humedad (%)
2025-10-17,10:56:20,20.7,44.1
2025-10-17,10:56:22,20.7,44.1
2025-10-17,10:56:25,20.6,44.1
2025-10-17,10:56:27,20.6,44.1
2025-10-17,10:56:29,20.6,44.0
2025-10-17,10:56:31,20.7,44.1
2025-10-17,10:56:33,20.7,44.1
2025-10-17,10:56:35,20.6,44.2
2025-10-17,10:56:37,20.7,44.2
2025-10-17,10:56:39,20.7,44.2
2025-10-17,10:56:41,20.7,44.2
2025-10-17,10:56:43,20.7,44.2
2025-10-17,10:56:45,20.6,44.2
2025-10-17,10:56:47,20.6,44.2
2025-10-17,10:56:49,20.6,44.1
2025-10-17,10:56:51,20.7,44.2
2025-10-17,10:56:53,20.7,44.2
2025-10-17,10:56:55,20.6,44.2
2025-10-17,10:56:57,20.7,44.2
2025-10-17,10:56:59,20.7,44.2
2025-10-17,10:57:01,20.7,44.2
2025-10-17,10:57:03,20.7,44.2
2025-10-17,10:57:05,20.7,44.2
2025-10-17,10:57:07,20.7,44.1
2025-10-17,10:57:09,20.7,44.1
2025-10-17,10:57:11,20.7,44.1
2025-10-17,10:57:13,20.7,44.1
2025-10-17,10:57:15,20.7,44.1
2025-10-17,10:57:17,20.7,44.1
2025-10-17,10:57:19,20.6,44.1
2025-10-17,10:57:21,20.7,44.1
2025-10-17,10:57:23,20.7,44.1
2025-10-17,10:57:25,20.7,44.1
2025-10-17,10:57:27,20.7,44.1
2025-10-17,10:57:30,20.6,44.1
2025-10-17,10:57:32,20.7,44.0
2025-10-17,10:57:34,20.7,44.0
2025-10-17,10:57:36,20.7,44.0
2025-10-17,10:57:38,20.7,44.0
2025-10-17,10:57:40,20.7,44.0
2025-10-17,10:57:42,20.7,44.0
2025-10-17,10:57:44,20.7,44.0
2025-10-17,10:57:46,20.7,44.0
2025-10-17,10:57:48,20.7,44.0
2025-10-17,10:57:50,20.7,44.0
2025-10-17,10:57:52,20.7,44.0
2025-10-17,10:57:54,20.7,44.0
2025-10-17,10:57:56,20.7,44.0
2025-10-17,10:57:58,20.7,44.0
2025-10-17,10:58:00,20.7,44.0
2025-10-17,10:58:02,20.7,44.1
2025-10-17,10:58:04,20.7,44.1
2025-10-17,10:58:06,20.7,44.1
2025-10-17,10:58:08,20.7,44.0
2025-10-17,10:58:10,20.7,43.9
2025-10-17,10:58:12,20.7,43.9
2025-10-17,10:58:14,20.7,43.9
2025-10-17,10:58:16,20.7,44.0
2025-10-17,10:58:18,20.7,44.1
2025-10-17,10:58:20,20.7,44.1
2025-10-17,10:58:22,20.7,44.2
2025-10-17,10:58:24,20.7,44.3
2025-10-17,10:58:26,20.7,44.2
2025-10-17,10:58:28,20.7,44.2
2025-10-17,10:58:30,20.7,44.2
2025-10-17,10:58:32,20.7,44.2
2025-10-17,10:58:34,20.7,44.2
2025-10-17,10:58:37,20.7,44.1
2025-10-17,10:58:39,20.7,44.2
2025-10-17,10:58:41,20.7,44.2
2025-10-17,10:58:43,20.7,44.2
2025-10-17,10:58:45,20.7,44.2
2025-10-17,10:58:47,20.7,44.2
2025-10-17,10:58:49,20.7,44.2
2025-10-17,10:58:51,20.7,44.2
2025-10-17,10:58:53,20.7,44.3
2025-10-17,10:58:55,20.7,44.3
2025-10-17,10:58:57,20.7,44.4
2025-10-17,10:58:59,20.7,44.4
2025-10-17,10:59:01,20.7,44.4
2025-10-17,10:59:03,20.7,44.5
2025-10-17,10:59:05,20.7,44.6
2025-10-17,10:59:07,20.7,44.6
2025-10-17,10:59:09,20.7,44.7
2025-10-17,10:59:11,20.7,44.7
2025-10-17,10:59:13,20.7,44.7
2025-10-17,10:59:15,20.7,44.7
2025-10-17,10:59:17,20.7,44.7
2025-10-17,10:59:19,20.7,44.7
2025-10-17,10:59:21,20.7,44.7
2025-10-17,10:59:23,20.7,44.7
2025-10-17,10:59:25,20.7,44.7
2025-10-17,10:59:27,20.7,44.7
2025-10-17,10:59:29,20.7,44.7
2025-10-17,10:59:31,20.7,44.7
2025-10-17,10:59:33,20.7,44.7
2025-10-17,10:59:35,20.7,44.6
2025-10-17,10:59:37,20.7,44.7
2025-10-17,10:59:40,20.7,44.7
2025-10-17,10:59:42,20.7,44.7
2025-10-17,10:59:44,20.7,44.7
2025-10-17,10:59:46,20.7,44.7
2025-10-17,10:59:48,20.7,44.7
2025-10-17,10:59:50,20.7,44.7
2025-10-17,10:59:52,20.7,44.7
2025-10-17,10:59:54,20.7,44.7
2025-10-17,10:59:56,20.7,44.8
2025-10-17,10:59:58,20.7,44.8
2025-10-17,11:00:00,20.7,44.9
2025-10-17,11:00:02,20.7,44.8
2025-10-17,11:00:04,20.7,44.7
2025-10-17,11:00:06,20.7,44.7
2025-10-17,11:00:08,20.7,44.6
2025-10-17,11:00:10,20.7,44.6
2025-10-17,11:00:12,20.7,44.6
2025-10-17,11:00:14,20.7,44.6
2025-10-17,11:00:16,20.7,44.6
2025-10-17,11:00:18,20.7,44.7
2025-10-17,11:00:20,20.7,44.7
2025-10-17,11:00:22,20.7,44.8
2025-10-17,11:00:24,20.7,44.9
2025-10-17,11:00:26,20.7,45.0
2025-10-17,11:00:28,20.7,45.1
2025-10-17,11:00:30,20.7,45.1
2025-10-17,11:00:32,20.7,45.1
2025-10-17,11:00:34,20.7,45.1
2025-10-17,11:00:36,20.7,45.1
2025-10-17,11:00:38,20.7,45.2
2025-10-17,11:01:01,21.1,45.4
2025-10-17,11:01:03,20.8,46.5
2025-10-17,11:01:05,20.8,47.7
2025-10-17,11:01:07,20.8,48.6
2025-10-17,11:01:09,20.8,49.1
2025-10-17,11:01:11,20.8,48.6
2025-10-17,11:01:13,20.8,49.9
2025-10-17,11:01:15,20.8,54.8
2025-10-17,11:01:17,20.9,60.1
2025-10-17,11:01:19,20.9,64.8
2025-10-17,11:01:21,20.9,68.8
2025-10-17,11:01:23,21.0,72.0
2025-10-17,11:01:25,21.0,74.6
2025-10-17,11:01:27,21.1,76.7
2025-10-17,11:01:29,21.1,78.3
2025-10-17,11:01:31,21.2,78.9
2025-10-17,11:01:33,21.2,78.7
2025-10-17,11:01:36,21.2,76.6
2025-10-17,11:01:38,21.2,72.9
2025-10-17,11:01:40,21.2,68.8
2025-10-17,11:01:42,21.3,64.9
2025-10-17,11:01:44,21.3,61.5
2025-10-17,11:01:46,21.4,58.7
2025-10-17,11:01:48,21.4,56.5
2025-10-17,11:01:50,21.4,54.7
2025-10-17,11:01:52,21.4,53.4
2025-10-17,11:01:54,21.4,52.3
2025-10-17,11:01:56,21.5,51.4
2025-10-17,11:01:58,21.5,50.6
2025-10-17,11:02:00,21.5,49.9
2025-10-17,11:02:02,21.5,49.3
2025-10-17,11:02:04,21.5,48.7
2025-10-17,11:02:06,21.5,48.3
2025-10-17,11:02:08,21.5,47.8
2025-10-17,11:02:10,21.5,47.4
2025-10-17,11:02:12,21.5,47.3
2025-10-17,11:02:14,21.5,47.1
2025-10-17,11:02:16,21.6,47.0
2025-10-17,11:02:18,21.6,46.9
2025-10-17,11:02:20,21.6,46.8
2025-10-17,11:02:22,21.6,46.6
2025-10-17,11:02:25,21.6,46.5
2025-10-17,11:02:27,21.6,46.3
2025-10-17,11:02:29,21.6,46.2
2025-10-17,11:02:31,21.6,46.0
2025-10-17,11:02:33,21.6,45.8
2025-10-17,11:02:35,21.6,45.6
2025-10-17,11:02:37,21.6,45.5
2025-10-17,11:02:39,21.6,45.7
2025-10-17,11:02:41,21.6,45.7
2025-10-17,11:02:43,21.6,45.9
2025-10-17,11:02:45,21.6,45.8
2025-10-17,11:02:47,21.6,45.5
2025-10-17,11:02:49,21.6,45.4
2025-10-17,11:02:51,21.6,45.3
2025-10-17,11:02:53,21.6,45.2
2025-10-17,11:02:55,21.6,45.1
2025-10-17,11:02:57,21.6,44.9
2025-10-17,11:02:59,21.6,44.8
2025-10-17,11:03:01,21.6,44.7
2025-10-17,11:03:03,21.6,44.7
2025-10-17,11:03:05,21.6,44.7
2025-10-17,11:03:07,21.6,44.7
2025-10-17,11:03:09,21.6,44.8
2025-10-17,11:03:11,21.6,44.8
2025-10-17,11:03:13,21.6,44.7
2025-10-17,11:03:16,21.7,44.7
2025-10-17,11:03:18,21.6,44.6
2025-10-17,11:03:20,21.6,44.6
